iter	Passed	Remaining
1075	21686	8545
1076	21703	8524
1077	21719	8502
1078	21738	8481
1079	21755	8460
1080	21771	8438
1081	21790	8418
1082	21808	8397
1083	21827	8376
1084	21845	8355
1085	21863	8334
1086	21881	8313
1087	21899	8292
1088	21918	8272
1089	21935	8250
1090	21953	8229
1091	21970	8208
1092	21989	8188
1093	22008	8167
1094	22026	8146
1095	22044	8126
1096	22062	8104
1097	22078	8083
1098	22096	8062
1099	22114	8041
1100	22132	8020
1101	22150	7999
1102	22168	7979
1103	22186	7958
1104	22204	7937
1105	22222	7916
1106	22239	7895
1107	22258	7874
1108	22276	7853
1109	22293	7833
1110	22313	7812
1111	22331	7791
1112	22346	7770
1113	22363	7749
1114	22382	7728
1115	22402	7708
1116	22421	7688
1117	22438	7666
1118	22456	7645
1119	22474	7625
1120	22492	7604
1121	22509	7583
1122	22527	7562
1123	22545	7542
1124	22563	7521
1125	22581	7500
1126	22599	7479
1127	22617	7459
1128	22638	7439
1129	22658	7419
1130	22678	7399
1131	22698	7378
1132	22718	7358
1133	22737	7338
1134	22760	7319
1135	22783	7300
1136	22804	7280
1137	22826	7261
1138	22843	7240
1139	22861	7219
1140	22877	7198
1141	22896	7177
1142	22913	7156
1143	22929	7135
1144	22946	7114
1145	22969	7095
1146	22989	7075
1147	23006	7054
1148	23026	7034
1149	23043	7013
1150	23062	6992
1151	23082	6972
1152	23098	6951
1153	23115	6930
1154	23132	6909
1155	23149	6888
1156	23167	6868
1157	23185	6847
1158	23204	6827
1159	23224	6807
1160	23245	6787
1161	23263	6766
1162	23282	6746
1163	23300	6725
1164	23317	6704
1165	23336	6684
1166	23353	6663
1167	23371	6643
1168	23390	6623
1169	23409	6602
1170	23429	6582
1171	23446	6561
1172	23464	6541
1173	23482	6520
1174	23499	6499
1175	23520	6480
1176	23537	6459
1177	23557	6439
1178	23575	6418
1179	23592	6398
1180	23667	6392
1181	23728	6383
1182	23765	6368
1183	23795	6350
1184	23837	6336
1185	23874	6321
1186	23902	6302
1187	23924	6283
1188	23946	6263
1189	23971	6244
1190	23996	6225
1191	24022	6207
1192	24043	6187
1193	24064	6167
1194	24086	6147
1195	24106	6127
1196	24125	6107
1197	24146	6086
1198	24166	6066
1199	24186	6046
1200	24205	6026
1201	24226	6006
1202	24248	5986
1203	24268	5966
1204	24289	5946
1205	24312	5926
1206	24332	5906
1207	24356	5887
